prod_name,Collection,supplier,brand,color,pattern,category,cat_name,link,image,plain,texture,geometric,Pattern,comtemporary,traditional,damasks,kids,commercial,residential,mural,stripes,floral
WP2435,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,YELLOW,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2435.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,FLORAL
WP2453,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,WHITE,NA,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2453.jpg,,,GEOMETRIC,PATTERN,CONTEMPORARY,,,,,,,,
ER8227,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,WHITE,PINK,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/ER8227.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,
WP2433,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,GREY,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2433.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,FLORAL
ER8240,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,PINK,NA,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/ER8240.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,,
WP2480,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,GREY,PINK,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2480.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,
WP2421,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,WHITE,GREY,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2421.jpg,,,,PATTERN,,TRADITIONAL,DAMASKS,,,,,,
WP2476,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,BEIGE,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2476.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,
WP2434,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,WHITE,BLACK,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2434.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,FLORAL
WP2452,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,BEIGE,NA,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2452.jpg,,,GEOMETRIC,PATTERN,CONTEMPORARY,,,,,,,,
WP2442,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,GREY,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2442.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,
WP2448,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,GREY,BLACK,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2448.jpg,,,,PATTERN,,TRADITIONAL,DAMASKS,,,,,,
WP2486,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,GREY,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2486.jpg,,,GEOMETRIC,PATTERN,CONTEMPORARY,,,,,,,,
WP2414,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,BLACK,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2414.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,
ER8230,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,WHITE,BLACK,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/ER8230.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,
