prod_name,Collection,supplier,color,pattern,category,link,image,brand,cat_name,plain,texture,geometric,Pattern,comtemporary,traditional,damasks,kids,commercial,mural,stripes
Y6131102,DORADO,"NINGBO BONNY WALLCOVERINGS CO., LTD",BEIGE,GOLDEN,dorado,#,/images/dorado/Y6131102.jpg,XYZ,dorado, -, -, -,PATTERN, -, -, -, -, -, -, -
Y6130701,DORADO,"NINGBO BONNY WALLCOVERINGS CO., LTD",BEIGE,SILVER,dorado,#,/images/dorado/Y6130701.jpg,XYZ,dorado, -, -, -,PATTERN, -, -, -, -, -, -, -
Y6130704,DORADO,"NINGBO BONNY WALLCOVERINGS CO., LTD",BROWN,GOLDEN,dorado,#,/images/dorado/Y6130704.jpg,XYZ,dorado, -, -, -,PATTERN, -, -, -, -, -, -, -
Y6130702,DORADO,"NINGBO BONNY WALLCOVERINGS CO., LTD",BLUE,GOLDEN,dorado,#,/images/dorado/Y6130702.jpg,XYZ,dorado, -, -, -,PATTERN, -, -, -, -, -, -, -
Y6130705,DORADO,"NINGBO BONNY WALLCOVERINGS CO., LTD",GREEN,GOLDEN,dorado,#,/images/dorado/Y6130705.jpg,XYZ,dorado, -, -, -,PATTERN, -, -, -, -, -, -, -
Y6131206,DORADO,"NINGBO BONNY WALLCOVERINGS CO., LTD",GOLDEN,NA,dorado,#,/images/dorado/Y6131206.jpg,XYZ,dorado, -,TEXTURE, -, -, -, -, -, -, -, -, -
Y6131201,DORADO,"NINGBO BONNY WALLCOVERINGS CO., LTD",GREEN,GOLDEN,dorado,#,/images/dorado/Y6131201.jpg,XYZ,dorado, -,TEXTURE, -, -, -, -, -, -, -, -, -
Y6131005,DORADO,"NINGBO BONNY WALLCOVERINGS CO., LTD",WHITE,GREY,dorado,#,/images/dorado/Y6131005.jpg,XYZ,dorado, -, -, -,PATTERN, -, -, -, -, -, -, -
Y6131004,DORADO,"NINGBO BONNY WALLCOVERINGS CO., LTD",BROWN,GOLDEN,dorado,#,/images/dorado/Y6131004.jpg,XYZ,dorado, -, -, -,PATTERN, -, -, -, -, -, -, -
Y6131006,DORADO,"NINGBO BONNY WALLCOVERINGS CO., LTD",ORANGE,GREY,dorado,#,/images/dorado/Y6131006.jpg,XYZ,dorado, -, -, -,PATTERN, -, -, -, -, -, -, -
Y6131003,DORADO,"NINGBO BONNY WALLCOVERINGS CO., LTD",BLUE,GREY,dorado,#,/images/dorado/Y6131003.jpg,XYZ,dorado, -, -, -,PATTERN, -, -, -, -, -, -, -
Y6131002,DORADO,"NINGBO BONNY WALLCOVERINGS CO., LTD",GREY,GOLDEN,dorado,#,/images/dorado/Y6131002.jpg,XYZ,dorado, -, -, -,PATTERN, -, -, -, -, -, -, -
