prod_name,Collection,supplier,color,pattern,category,cat_name,link,image,plain,texture,geometric,Pattern,comtemporary,traditional,damasks,kids,commercial,residential,mural,stripes,floral
JC5932,OPAL_ESSENCE,YORK,GREY,BEIGE,opal essence,opal,#,/images/opal/JC5932.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,FLORAL
JC6010,OPAL_ESSENCE,YORK,GOLD,WHITE,opal essence,opal,#,/images/opal/JC6010.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,,
JC6011,OPAL_ESSENCE,YORK,GOLD,GREY,opal essence,opal,#,/images/opal/JC6011.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,,
JC5931,OPAL_ESSENCE,YORK,BLUE,BEIGE,opal essence,opal,#,/images/opal/JC5931.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,FLORAL
JC5935,OPAL_ESSENCE,YORK,WHITE,PINK,opal essence,opal,#,/images/opal/JC5935.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,FLORAL
JC5933,OPAL_ESSENCE,YORK,SILVER,PINK,opal essence,opal,#,/images/opal/JC5933.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,FLORAL
JC5934,OPAL_ESSENCE,YORK,BLUE,PINK,opal essence,opal,#,/images/opal/JC5934.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,FLORAL
JC5999,OPAL_ESSENCE,YORK,BLUE,GOLD,opal essence,opal,#,/images/opal/JC5999.jpg,,,,PATTERN,,TRADITIONAL,DAMASKS,,,,,STRIPES,
JC6009,OPAL_ESSENCE,YORK,BLUE,NA,opal essence,opal,#,/images/opal/JC6009.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,STRIPES,
JC5991,OPAL_ESSENCE,YORK,BLUE,GOLD,opal essence,opal,#,/images/opal/JC5991.jpg,,,,PATTERN,,TRADITIONAL,DAMASKS,,,,,STRIPES,
JC6001,OPAL_ESSENCE,YORK,BEIGE,BROWN,opal essence,opal,#,/images/opal/JC6001.jpg,,,,PATTERN,,TRADITIONAL,DAMASKS,,,,,STRIPES,
JC5993,OPAL_ESSENCE,YORK,BEIGE,BROWN,opal essence,opal,#,/images/opal/JC5993.jpg,,,,PATTERN,,TRADITIONAL,DAMASKS,,,,,STRIPES,
JC6002,OPAL_ESSENCE,YORK,BROWN,BEIGE,opal essence,opal,#,/images/opal/JC6002.jpg,,,,PATTERN,,TRADITIONAL,DAMASKS,,,,,STRIPES,
JC6012,OPAL_ESSENCE,YORK,GOLD,GREY,opal essence,opal,#,/images/opal/JC6012.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,STRIPES,
JC5994,OPAL_ESSENCE,YORK,BROWN,BEIGE,opal essence,opal,#,/images/opal/JC5994.jpg,,,,PATTERN,,TRADITIONAL,DAMASKS,,,,,STRIPES,
JC5998,OPAL_ESSENCE,YORK,SILVER,WHITE,opal essence,opal,#,/images/opal/JC5998.jpg,,,,PATTERN,,TRADITIONAL,DAMASKS,,,,,STRIPES,
JC6008,OPAL_ESSENCE,YORK,SILVER,NA,opal essence,opal,#,/images/opal/JC6008.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,STRIPES,
JC5990,OPAL_ESSENCE,YORK,SILVER,WHITE,opal essence,opal,#,/images/opal/JC5990.jpg,,,,PATTERN,,TRADITIONAL,DAMASKS,,,,,STRIPES,
JC6000,OPAL_ESSENCE,YORK,WHITE,GREY,opal essence,opal,#,/images/opal/JC6000.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,STRIPES,
JC5992,OPAL_ESSENCE,YORK,BEIGE,WHITE,opal essence,opal,#,/images/opal/JC5992.jpg,,,,PATTERN,,TRADITIONAL,DAMASKS,,,,,STRIPES,
