prod_name,Collection,supplier,brand,color,pattern,category,link,image,cat_name,plain,texture,geometric,Pattern,comtemporary,traditional,damasks,kids,commercial,residential,mural,stripes,floral
YW1494,STOCKBRIDGE,YORK,PARK PLACE STUDIO,BEIGE,NA,Stock Bridge,#,/images/stock_bridge/YW1494.jpg,stockbridge,,TEXTURE,,,CONTEMPORARY,,,,,,,,
YW1508,STOCKBRIDGE,YORK,PARK PLACE STUDIO,BEIGE,WHITE,Stock Bridge,#,/images/stock_bridge/YW1508.jpg,stockbridge,,TEXTURE,,PATTERN,,TRADITIONAL,,,,,,STRIPES,
YW1451,STOCKBRIDGE,YORK,PARK PLACE STUDIO,BEIGE,GOLD,Stock Bridge,#,/images/stock_bridge/YW1451.jpg,stockbridge,,TEXTURE,,PATTERN,CONTEMPORARY,TRADITIONAL,DAMASKS,,,,,,
YW1445,STOCKBRIDGE,YORK,PARK PLACE STUDIO,BEIGE,GOLD,Stock Bridge,#,/images/stock_bridge/YW1445.jpg,stockbridge,,TEXTURE,,,CONTEMPORARY,,,,,,,,
YW1476,STOCKBRIDGE,YORK,PARK PLACE STUDIO,BEIGE,SILVER,Stock Bridge,#,/images/stock_bridge/YW1476.jpg,stockbridge,,,,PATTERN,,TRADITIONAL,DAMASKS,,,,,STRIPES,
YW1493,STOCKBRIDGE,YORK,PARK PLACE STUDIO,BLUE,GOLD,Stock Bridge,#,/images/stock_bridge/YW1493.jpg,stockbridge,,TEXTURE,,,CONTEMPORARY,,,,,,,STRIPES,
YW1424,STOCKBRIDGE,YORK,PARK PLACE STUDIO,GREY,GOLD,Stock Bridge,#,/images/stock_bridge/YW1424.jpg,stockbridge,,,,,CONTEMPORARY,,,,,,,STRIPES,
YW1432,STOCKBRIDGE,YORK,PARK PLACE STUDIO,GREY,BEIGE,Stock Bridge,#,/images/stock_bridge/YW1432.jpg,stockbridge,,TEXTURE,,PATTERN,CONTEMPORARY,TRADITIONAL,,,,,,,
YW1403,STOCKBRIDGE,YORK,PARK PLACE STUDIO,GREY,GOLD,Stock Bridge,#,/images/stock_bridge/YW1403.jpg,stockbridge,,TEXTURE,,,,TRADITIONAL,DAMASKS,,,,,,
YW1410,STOCKBRIDGE,YORK,PARK PLACE STUDIO,GREY,GOLD,Stock Bridge,#,/images/stock_bridge/YW1410.jpg,stockbridge,,TEXTURE,,,CONTEMPORARY,,,,,,,,
YW1419,STOCKBRIDGE,YORK,PARK PLACE STUDIO,GREY,GOLD,Stock Bridge,#,/images/stock_bridge/YW1419.jpg,stockbridge,,TEXTURE,,,CONTEMPORARY,,,,,,,STRIPES,
YW1472,STOCKBRIDGE,YORK,PARK PLACE STUDIO,BEIGE,WHITE,Stock Bridge,#,/images/stock_bridge/YW1472.jpg,stockbridge,,,,PATTERN,CONTEMPORARY,TRADITIONAL,DAMASKS,,,,,STRIPES,
YW1480,STOCKBRIDGE,YORK,PARK PLACE STUDIO,BEIGE,GOLD,Stock Bridge,#,/images/stock_bridge/YW1480.jpg,stockbridge,,,,,CONTEMPORARY,,,,,,,STRIPES,
YW1426,STOCKBRIDGE,YORK,PARK PLACE STUDIO,BEIGE,NA,Stock Bridge,#,/images/stock_bridge/YW1426.jpg,stockbridge,,,,PATTERN,,TRADITIONAL,DAMASKS,,,,,,
YW1440,STOCKBRIDGE,YORK,PARK PLACE STUDIO,SILVER,NA,Stock Bridge,#,/images/stock_bridge/YW1440.jpg,stockbridge,,TEXTURE,,,CONTEMPORARY,,,,,,,,
YW1434,STOCKBRIDGE,YORK,PARK PLACE STUDIO,SILVER,WHITE,Stock Bridge,#,/images/stock_bridge/YW1434.jpg,stockbridge,,TEXTURE,,PATTERN,CONTEMPORARY,TRADITIONAL,DAMASKS,,,,,,
