prod_name,Collection,supplier,brand,color,pattern,cat_name,link,image,category,plain,texture,geometric,Pattern,comtemporary,traditional,damasks,kids,commercial,residential,mural,stripes
SL5723,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,GREEN,BEIGE,silverleaf,#,/images/Silver_Leaf/SL5723.jpg,Silver Leaf II,,TEXTURE,,PATTERN,,TRADITIONAL,,,,,,
SL5616,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,WHITE,NA,silverleaf,#,/images/Silver_Leaf/SL5616.jpg,Silver Leaf II,,TEXTURE,,,CONTEMPORARY,,,,,,,
SL5731,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,GREEN,NA,silverleaf,#,/images/Silver_Leaf/SL5731.jpg,Silver Leaf II,,TEXTURE,,,CONTEMPORARY,,,,,,,
SL5684,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,SILVER,BEIGE,silverleaf,#,/images/Silver_Leaf/SL5684.jpg,Silver Leaf II,,TEXTURE,,PATTERN,,TRADITIONAL,,,,,,
SL5732,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,SILVER,NA,silverleaf,#,/images/Silver_Leaf/SL5732.jpg,Silver Leaf II,,TEXTURE,,,CONTEMPORARY,,,,,,,
SL5724,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,SILVER,BEIGE,silverleaf,#,/images/Silver_Leaf/SL5724.jpg,Silver Leaf II,,TEXTURE,,,CONTEMPORARY,,,,,,,
SL5765,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,RED,GREEN,silverleaf,#,/images/Silver_Leaf/SL5765.jpg,Silver Leaf II,,TEXTURE,GEOMETRIC,,CONTEMPORARY,,,,,,,
SL5676,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,BEIGE,SILVER,silverleaf,#,/images/Silver_Leaf/SL5676.jpg,Silver Leaf II,,TEXTURE,,,,,,,,,,
PM9217,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,GREY,NA,silverleaf,#,/images/Silver_Leaf/PM9217.jpg,Silver Leaf II,,TEXTURE,,PATTERN,,TRADITIONAL,,,,,,
SL5681,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,GOLDEN,NA,silverleaf,#,/images/Silver_Leaf/SL5681.jpg,Silver Leaf II,,,,PATTERN,,TRADITIONAL,,,,,,
SL5673,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,BEIGE,SILVER,silverleaf,#,/images/Silver_Leaf/SL5673.jpg,Silver Leaf II,,,,PATTERN,,TRADITIONAL,,,,,,
SL5656,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,GREY,GOLDEN,silverleaf,#,/images/Silver_Leaf/SL5656.jpg,Silver Leaf II,,TEXTURE,,,CONTEMPORARY,,,,,,,
SL5680,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,GOLDEN,BEIGE,silverleaf,#,/images/Silver_Leaf/SL5680.jpg,Silver Leaf II,,TEXTURE,GEOMETRIC,,CONTEMPORARY,,,,,,,
SL5674,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,SILVER,PINK,silverleaf,#,/images/Silver_Leaf/SL5674.jpg,Silver Leaf II,,,,PATTERN,,TRADITIONAL,,,,,,
SL5657,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,GREY,PINK,silverleaf,#,/images/Silver_Leaf/SL5657.jpg,Silver Leaf II,,TEXTURE,,,,,,,,,,
SL5683,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,SILVER,BROWN,silverleaf,#,/images/Silver_Leaf/SL5683.jpg,Silver Leaf II,,TEXTURE,GEOMETRIC,,CONTEMPORARY,,,,,,,
SL5672,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,SILVER,BEIGE,silverleaf,#,/images/Silver_Leaf/SL5672.jpg,Silver Leaf II,,,,PATTERN,,TRADITIONAL,,,,,,
SL5682,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,GOLDEN,NA,silverleaf,#,/images/Silver_Leaf/SL5682.jpg,Silver Leaf II,,TEXTURE,,,CONTEMPORARY,,,,,,,
SL5688,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,BEIGE,GOLDEN,silverleaf,#,/images/Silver_Leaf/SL5688.jpg,Silver Leaf II,,TEXTURE,GEOMETRIC,,CONTEMPORARY,,,,,,,
SL5689,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,BEIGE,NA,silverleaf,#,/images/Silver_Leaf/SL5689.jpg,Silver Leaf II,,,,PATTERN,,TRADITIONAL,,,,,,
SL5691,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,BLUE,SILVER,silverleaf,#,/images/Silver_Leaf/SL5691.jpg,Silver Leaf II,,TEXTURE,GEOMETRIC,,,,,,,,,
SL5692,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,BEIGE,SILVER,silverleaf,#,/images/Silver_Leaf/SL5692.jpg,Silver Leaf II,,TEXTURE,,PATTERN,,,,,,,,
SL5690,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,GREY,SILVER,silverleaf,#,/images/Silver_Leaf/SL5690.jpg,Silver Leaf II,,TEXTURE,,PATTERN,,,,,,,,
SL5612,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,SILVER,WHITE,silverleaf,#,/images/Silver_Leaf/SL5612.jpg,Silver Leaf II,,TEXTURE,,PATTERN,,,,,,,,
SL5620,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,SILVER,NA,silverleaf,#,/images/Silver_Leaf/SL5620.jpg,Silver Leaf II,,TEXTURE,,PATTERN,,,,,,,,
SL5608,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,GOLDEN,WHITE,silverleaf,#,/images/Silver_Leaf/SL5608.jpg,Silver Leaf II,,TEXTURE,,PATTERN,,,,,,,,
SL5609,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,GREY,WHITE,silverleaf,#,/images/Silver_Leaf/SL5609.jpg,Silver Leaf II,,TEXTURE,,,,TRADITIONAL,DAMASKS,,,,,
SL5617,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,GREY,NA,silverleaf,#,/images/Silver_Leaf/SL5617.jpg,Silver Leaf II,,TEXTURE,,,,,,,,,,
SL5611,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,SILVER,BEIGE,silverleaf,#,/images/Silver_Leaf/SL5611.jpg,Silver Leaf II,,TEXTURE,,,,TRADITIONAL,DAMASKS,,,,,
SL5618,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,GREY,NA,silverleaf,#,/images/Silver_Leaf/SL5618.jpg,Silver Leaf II,,TEXTURE,,,,TRADITIONAL,DAMASKS,,,,,
SL5619,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,SILVER,NA,silverleaf,#,/images/Silver_Leaf/SL5619.jpg,Silver Leaf II,,TEXTURE,,,,,,,,,,
SL5610,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,SILVER,GREY,silverleaf,#,/images/Silver_Leaf/SL5610.jpg,Silver Leaf II,,TEXTURE,,,,TRADITIONAL,DAMASKS,,,,,
SL5621,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,SILVER,GREY,silverleaf,#,/images/Silver_Leaf/SL5621.jpg,Silver Leaf II,,TEXTURE,,,,,,,,,,
SL5613,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,SILVER,BEIGE,silverleaf,#,/images/Silver_Leaf/SL5613.jpg,Silver Leaf II,,TEXTURE,,,,,,,,,,
SL5624,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,WHITE,BLACK,silverleaf,#,/images/Silver_Leaf/SL5624.jpg,Silver Leaf II,,TEXTURE,,,,TRADITIONAL,DAMASKS,,,,,
SL5658,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,BEIGE,GOLDEN,silverleaf,#,/images/Silver_Leaf/SL5658.jpg,Silver Leaf II,,TEXTURE,,,,,,,,,,
SL5625,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,WHITE,BLACK,silverleaf,#,/images/Silver_Leaf/SL5625.jpg,Silver Leaf II,,TEXTURE,,,,TRADITIONAL,DAMASKS,,,,,
SL5660,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,GREY,NA,silverleaf,#,/images/Silver_Leaf/SL5660.jpg,Silver Leaf II,,,,PATTERN,,TRADITIONAL,,,,,,
SL5626,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,WHITE,BLACK,silverleaf,#,/images/Silver_Leaf/SL5626.jpg,Silver Leaf II,,TEXTURE,,,,,,,,,,
SL5627,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,WHITE,BLACK,silverleaf,#,/images/Silver_Leaf/SL5627.jpg,Silver Leaf II,,,,PATTERN,,TRADITIONAL,,,,,,
SL5699,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,GREY,GOLDEN,silverleaf,#,/images/Silver_Leaf/SL5699.jpg,Silver Leaf II,,TEXTURE,,,,,,,,,,
SL5698,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,WHITE,BEIGE,silverleaf,#,/images/Silver_Leaf/SL5698.jpg,Silver Leaf II,,,,PATTERN,,TRADITIONAL,,,,,,
CO2084,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,WHITE,NA,silverleaf,#,/images/Silver_Leaf/CO2084.jpg,Silver Leaf II,,,,PATTERN,,TRADITIONAL,,,,,,
LS6112,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,SILVER ,NA,silverleaf,#,/images/Silver_Leaf/LS6112.jpg,Silver Leaf II,,,,PATTERN,,,,,,,,
