prod_name,Collection,supplier,brand,color,pattern,category,cat_name,image,style,plain,texture,geometric,Pattern,comtemporary,traditional,damasks,kids,commercial,mural,stripes
GE3611,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,WHITE,BEIGE,ashford geometrics,ashford,/images/ashford/GE3611.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3610,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,WHITE,BLUE,ashford geometrics,ashford,/images/ashford/GE3610.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3612,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,WHITE,YELLOW,ashford geometrics,ashford,/images/ashford/GE3612.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3643,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BEIGE,GREY,ashford geometrics,ashford,/images/ashford/GE3643.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3641,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BLUE,WHITE,ashford geometrics,ashford,/images/ashford/GE3641.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3644,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,GREEN,WHITE,ashford geometrics,ashford,/images/ashford/GE3644.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3640,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BLUE,BLUE,ashford geometrics,ashford,/images/ashford/GE3640.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3642,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BROWN,BEIGE,ashford geometrics,ashford,/images/ashford/GE3642.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3680,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BEIGE,WHITE,ashford geometrics,ashford,/images/ashford/GE3680.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3683,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BLUE,WHITE,ashford geometrics,ashford,/images/ashford/GE3683.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3685,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,YELLOW,WHITE,ashford geometrics,ashford,/images/ashford/GE3685.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3682,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BEIGE,WHITE,ashford geometrics,ashford,/images/ashford/GE3682.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3684,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BLUE,WHITE,ashford geometrics,ashford,/images/ashford/GE3684.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
